cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
1.5,-0.5,0.4327,0.4327,0.1923,21.8399,21.8399,9.7066,15.7500,15.7500,7.0000
1.5,-0.333,0.1919,0.1919,0.0853,18.9463,18.9463,8.4206,13.2171,13.2171,5.8743
1.5,-0.25,0.1082,0.1082,0.0481,17.6027,17.6027,7.8234,12.0629,12.0629,5.3613
1.5,-0.167,0.0483,0.0483,0.0215,16.3220,16.3220,7.2542,10.9781,10.9781,4.8791
1.5,0.0,0.0000,0.0000,0.0000,13.9353,13.9353,6.1935,9.0058,9.0058,4.0026
1.5,0.167,0.0483,0.0483,0.0215,11.8029,11.8029,5.2457,7.3147,7.3147,3.2510
1.5,0.25,0.1082,0.1082,0.0481,10.8376,10.8376,4.8167,6.5788,6.5788,2.9239
1.5,0.333,0.1919,0.1919,0.0853,9.9351,9.9351,4.4156,5.9124,5.9124,2.6277
1.5,0.5,0.4327,0.4327,0.1923,8.3096,8.3096,3.6932,4.7819,4.7819,2.1253
1.5,0.667,0.7701,0.7701,0.3423,6.9383,6.9383,3.0837,3.9325,3.9325,1.7478
1.5,0.75,0.9737,0.9737,0.4327,6.3513,6.3513,2.8228,3.6150,3.6150,1.6067
1.5,0.833,1.2011,1.2011,0.5338,5.8271,5.8271,2.5898,3.3669,3.3669,1.4964
1.5,1.0,1.7310,1.7310,0.7693,4.9627,4.9627,2.2057,3.0782,3.0782,1.3681
1.5,1.25,2.7047,2.7047,1.2021,4.1439,4.1439,1.8417,3.1714,3.1714,1.4095
1.5,1.333,3.0758,3.0758,1.3670,3.9980,3.9980,1.7769,3.3417,3.3417,1.4852
1.5,1.5,3.8947,3.8947,1.7310,3.8947,3.8947,1.7310,3.8947,3.8947,1.7310
1.5,2.0,6.9240,6.9240,3.0773,5.1055,5.1055,2.2691,7.2315,7.2315,3.2140
1.5,2.5,10.8187,10.8187,4.8083,8.5952,8.5952,3.8201,13.0885,13.0885,5.8171
1.5,3.0,15.5789,15.5789,6.9240,14.3637,14.3637,6.3839,21.4658,21.4658,9.5404
1.5,4.0,27.6958,27.6958,12.3092,32.7373,32.7373,14.5499,45.7811,45.7811,20.3471
1.5,6.0,62.3156,62.3156,27.6958,96.8306,96.8306,43.0358,124.6545,124.6545,55.4020
